Brand,Model,1-Core Pts,2-Core Pts,4-Core Pts,8-Core Pts,64-Core Pts,Samples,Age (months),Current Price (USD),Seller
AMD,E2-1800 APU (2012 M.Za),21.8,39.9,41.7,42.8,42.5,4000,100,,
AMD,Athlon LE-1640,37.7,38.5,39.6,40.6,41.2,430,96,,
AMD,E1-7010 APU (2015 M.Ca),21.5,39.6,41,42.3,40.9,1500,73,,
AMD,E-450 APU,20.8,38.4,39.8,40.9,40.6,9300,100,,
AMD,E-350D APU,21.1,38.2,39.8,40.5,40.6,254,97,,
AMD,E-350,20.7,38.5,39.7,40.6,40.3,6300,98,,
AMD,Athlon 64 4000 ,37.3,37.5,38.9,39.6,40.2,59,95,,
AMD,E1-2500 APU,20.6,37.1,39.1,40.5,39.7,2400,99,,
AMD,V140,34.7,35.2,36.1,36.9,37.6,767,100,,
AMD,Athlon 64 3800 ,34.1,34.6,35.9,36.7,37.3,287,100,,
AMD,Athlon 64 3400 ,35.7,35,35.6,35.6,36.7,29,100,,
AMD,V120,33.9,34.6,35.4,35.9,36.2,571,98,,
AMD,Athlon 64 3500 ,31.6,31.9,32.7,33.6,34.9,467,100,,
AMD,E1-1200 APU,17.5,32.2,33.4,34.4,33.8,6600,100,,
